# Jean-Mark Laget (JML Paris) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031473     5.171772E+00      5.019572E+00 
0.060     0.062411     1.474970E+00      1.441755E+00 
0.100     0.099207     3.071755E-01      2.835188E-01 
0.140     0.138440     7.346053E-02      6.656017E-02 
0.180     0.178375     2.216219E-02      1.946516E-02 
0.220     0.218252     7.810019E-03      6.883812E-03 
0.260     0.257816     3.167433E-03      2.911356E-03 
0.300     0.297900     1.472815E-03      1.433555E-03 
0.340     0.337974     7.835809E-04      8.143986E-04 
0.380     0.378275     4.685188E-04      5.162060E-04 
0.420     0.431761     2.803442E-04      3.049653E-04 
0.460     0.462105     2.026577E-04      2.265655E-04 
0.500     0.503398     1.491871E-04      1.706768E-04 
0.540     0.541761     1.058260E-04      1.162888E-04 
0.580     0.582569     7.885351E-05      8.965700E-05 
0.620     0.621252     5.839491E-05      6.808657E-05 
0.660     0.661036     4.262457E-05      5.177619E-05 
0.700     0.700331     3.016885E-05      3.618457E-05 
0.740     0.739832     2.134407E-05      2.661768E-05 
0.780     0.779405     1.484379E-05      1.941771E-05 
0.820     0.819129     1.010419E-05      1.397177E-05 
0.860     0.858869     6.732297E-06      9.930820E-06 
0.900     0.898569     4.348958E-06      6.977872E-06 
0.940     0.938461     2.724709E-06      4.821100E-06 
0.980     0.978123     1.641133E-06      3.294900E-06 
1.020     1.017957     9.590430E-07      2.226931E-06 
1.060     1.057468     5.329010E-07      1.503715E-06 
1.100     1.097505     2.692608E-07      9.837864E-07 
1.140     1.137289     1.216196E-07      6.159512E-07 
1.180     1.173123     5.837317E-08      4.012093E-07 
