# exp. cross sections as a function of missing momentum 
# all cross sections include the bin correction factor 
#
# theta_nq = 45.0 
#
# Averaged for all contributing bins
#
# p_miss_av     : fm^-1, missing momentum (use for plotting averaged results)
# rho           : fm^3, reduced cross section (momentum distribution) 
# delta_rho     : fm^3, total error in reduced cross section (momentum distribution) 
# delta_rho1    : fm^3, total error in reduced cross section including chi2 of averaging 
#
# Kinematics and cross section for each contributing bin: 
#
#  th_e         : electron scattering angle (deg)
#  Ei           : incident energy (MeV)
#  omega        : energy transfer (MeV) 
#  qlab         : 3-momentum transfer in lab (MeV/c)
#  cos_phi      : cos(phi), phi reaction plane angle
#  pf           : final proton momentum (MeV/c)
#  p_miss       : averaged missing momentum (MeV/c)
#  pm_b         : missing momentum bin_center (MeV/c)
#  th_nq        : angle between recoiling neutron and qlab
#  sig_exp      : exp. cross section for this bin (nb/(MeV Sr^2))
#  dsig_exp     : error in exp cross section for this bin (nb/(MeV Sr^2))
#  sig_red_exp  : exp. red. cross section (rho) for this bin (fm^3)
#  dsig_red_exp : error in red. cross section (drho) for this bin (fm^3)
#  bc           : bin centering correction factor used: sig_exp_raw * bc = exp. cross section at avg. kinematics reported above 
#
# common values for Nr indicate kinematic settings that contribute to the same missing momentum bin and are used in averaging
#
#! Nr[i,0]/ p_miss_av[f,1]/ rho[f,2]/ delta_rho[f,3]/ delta_rho1[f,4]/ th_e[f,5]/ Ei[f,6]/ omega[f,7]/ qlab[f,8]/ cos_phi[f, 9]/ pf[f,10]/ p_miss[f,11]/ pm_b[f,12]/ th_nq[f,13]/ sig_exp[f,14]/ dsig_exp[f,15]/ bc[f,16]/ sig_red_exp[f,17]/ 
0 0.151  6.154e+00  1.104e+00  1.104e+00 12.279 10599.418 2131.865 2941.335 -0.11858 2920.355   31.473   20.000  47.966  1.941e+00  3.482e-01 1.00550  6.154e+00
1 0.306  1.339e+00  7.199e-02  7.199e-02 12.386 10598.876 2113.396 2941.657 -0.20523 2899.328   62.411   60.000  46.847  4.067e-01  2.186e-02 0.89554  1.339e+00
2 0.493  2.574e-01  1.097e-02  1.097e-02 12.507 10598.653 2093.701 2943.086 -0.04589 2875.305   99.207  100.000  46.194  7.367e-02  3.139e-03 0.82836  2.574e-01
3 0.693  6.844e-02  3.768e-03  3.768e-03 12.627 10598.538 2075.044 2945.394 0.15538 2850.492  138.440  140.000  45.736  1.820e-02  1.002e-03 0.82979  6.844e-02
4 0.895  2.099e-02  1.786e-03  1.786e-03 12.701 10598.680 2049.880 2938.749 0.33597 2816.993  178.375  180.000  45.670  5.273e-03  4.486e-04 0.85394  2.099e-02
5 1.098  5.275e-03  8.820e-04  8.820e-04 12.776 10598.668 2029.644 2935.361 0.45070 2786.969  218.252  220.000  45.581  1.252e-03  2.094e-04 0.87084  5.275e-03
6 1.303  2.844e-03  6.909e-04  6.909e-04 12.859 10598.687 2015.759 2937.010 0.49708 2762.057  257.816  260.000  45.390  6.410e-04  1.557e-04 0.90744  2.844e-03
7 1.507  7.931e-04  3.967e-04  3.967e-04 12.950 10598.647 2008.923 2943.911 0.50199 2742.827  297.900  300.000  45.368  1.703e-04  8.518e-05 0.91838  7.931e-04
8 1.711  7.336e-04  4.237e-04  4.237e-04 13.031 10598.667 2005.286 2951.600 0.48234 2725.405  337.974  340.000  45.503  1.520e-04  8.776e-05 0.93255  7.336e-04
9 1.915  3.111e-04  3.111e-04  3.111e-04 13.100 10598.691 2003.861 2959.156 0.46011 2708.714  378.275  380.000  45.736  6.268e-05  6.268e-05 0.94004  3.111e-04
10 2.188  1.975e-02  2.686e-02  2.686e-02 11.585 10599.954 1566.938 2521.182 -0.98517 2218.253  431.761  420.000  41.833  1.738e-02  2.365e-02 1.24544  1.975e-02
11 2.327  3.673e-04  2.731e-04  2.731e-04 13.213 10598.641 2009.557 2976.203 0.41036 2680.677  457.495  460.000  46.310  1.147e-04  1.147e-04 0.94448  5.910e-04
11 2.327  3.673e-04  2.731e-04  2.731e-04 11.722 10599.695 1602.422 2558.383 -0.97226 2240.393  466.716  460.000  43.096  2.545e-04  2.557e-04 1.05263  3.066e-04
12 2.550  1.020e-04  4.061e-05  5.222e-05 11.827 10599.350 1626.571 2585.298 -0.95986 2248.340  503.380  500.000  43.687  1.460e-04  5.978e-05 1.00200  1.829e-04
12 2.550  1.020e-04  4.061e-05  5.222e-05 11.831 10599.339 1627.438 2586.248 -0.96001 2249.261  503.416  500.000  43.688  5.440e-05  3.850e-05 1.00561  6.829e-05
13 2.744  6.920e-05  1.789e-05  1.789e-05 11.920 10599.084 1650.394 2610.378 -0.94702 2253.980  541.691  540.000  44.211  5.338e-05  2.020e-05 0.98276  6.907e-05
13 2.744  6.920e-05  1.789e-05  1.789e-05 11.925 10599.091 1651.534 2611.674 -0.94679 2255.138  541.831  540.000  44.206  5.340e-05  1.890e-05 0.98399  6.932e-05
14 2.941  4.390e-05  9.898e-06  1.055e-05 12.003 10598.801 1673.210 2633.660 -0.93112 2257.006  580.739  580.000  44.565  2.526e-05  9.551e-06 0.97016  3.367e-05
14 2.941  4.390e-05  9.898e-06  1.055e-05 12.002 10598.927 1673.517 2633.768 -0.93222 2257.304  580.799  580.000  44.593  4.420e-05  1.183e-05 0.96935  5.888e-05
14 2.941  4.390e-05  9.898e-06  1.055e-05 11.642 10599.629 1551.996 2520.878 -0.97855 2122.007  586.168  580.000  42.021  3.057e-04  3.096e-04 1.05747  3.149e-04
15 3.141  4.019e-05  7.716e-06  7.716e-06 12.086 10598.749 1698.358 2658.314 -0.91633 2261.311  620.062  620.000  44.840  3.672e-05  8.664e-06 0.96418  5.059e-05
15 3.141  4.019e-05  7.716e-06  7.716e-06 12.084 10598.647 1698.193 2657.912 -0.91517 2261.086  620.139  620.000  44.864  2.332e-05  7.379e-06 0.96482  3.209e-05
15 3.141  4.019e-05  7.716e-06  7.716e-06 11.748 10599.358 1583.892 2551.922 -0.97436 2134.750  623.554  620.000  42.565  1.074e-04  1.076e-04 1.01177  1.158e-04
