#theta_nq = 35 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.02981       5.75153E+00              12.70410             4.59290              13.50880             
0.06000         0.05656       1.97889E+00              7.54910              6.68780              10.08540             
0.10000         0.09245       4.77584E-01              9.78210              8.32860              12.84740             
0.14000         0.12870       1.16331E-01              25.83550             8.05570              27.06230             
0.18000         nan           NAN                      nan                  nan                  nan                  
0.22000         nan           NAN                      nan                  nan                  nan                  
0.26000         nan           NAN                      nan                  nan                  nan                  
0.30000         0.31407       NAN                      106.20870            3.83640              106.27800            
0.34000         0.34540       2.95606E-04              36.50060             5.40970              36.89930             
0.38000         0.38192       2.09371E-04              20.19640             5.38270              20.90140             
0.42000         0.42582       1.09994E-04              18.62680             7.61300              20.12250             
0.46000         0.46156       9.26702E-05              15.49770             7.60310              17.26230             
0.50000         0.50001       3.99584E-05              19.22400             8.50640              21.02200             
0.54000         0.53895       4.28367E-05              16.34660             8.50670              18.42760             
0.58000         0.57799       3.07679E-05              17.99200             8.50920              19.90270             
0.62000         0.61847       2.82866E-05              19.83810             6.63300              20.91760             
0.66000         0.65751       2.00139E-05              27.59760             6.64750              28.38690             
0.70000         0.69694       2.55271E-05              36.10110             5.44340              36.50920             
0.74000         0.73689       3.82137E-05              44.95420             3.84840              45.11860             
0.78000         0.77618       NAN                      100.21430            3.85390              100.28840            
0.82000         nan           NAN                      nan                  nan                  nan                  
0.86000         nan           NAN                      nan                  nan                  nan                  
0.90000         nan           NAN                      nan                  nan                  nan                  
0.94000         0.93565       NAN                      107.23940            3.91200              107.31070            
0.98000         nan           NAN                      nan                  nan                  nan                  
1.02000         nan           NAN                      nan                  nan                  nan                  
1.06000         nan           NAN                      nan                  nan                  nan                  
1.10000         nan           NAN                      nan                  nan                  nan                  
1.14000         nan           NAN                      nan                  nan                  nan                  
1.18000         nan           NAN                      nan                  nan                  nan                  
