#theta_nq = 35 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.02981       2.64867E-03              12.70407             4.59284              13.50880             
0.06000         0.05656       8.66164E-04              7.54910              6.68770              10.08535             
0.10000         0.09245       1.97112E-04              9.78210              8.32859              12.84737             
0.14000         0.12870       4.54917E-05              25.83546             8.05565              27.06224             
0.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.22000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.26000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.30000         0.31407       -1.00000E+00             100.00000            3.66100              100.06699            
0.34000         0.34540       -1.00000E+00             100.00000            3.66100              100.06699            
0.38000         0.38192       -1.00000E+00             100.00000            3.66100              100.06699            
0.42000         0.42582       -1.00000E+00             100.00000            3.66100              100.06699            
0.46000         0.46156       -1.00000E+00             100.00000            3.66100              100.06699            
0.50000         0.50001       -1.00000E+00             100.00000            3.66100              100.06699            
0.54000         0.53895       -1.00000E+00             100.00000            3.66100              100.06699            
0.58000         0.57799       -1.00000E+00             100.00000            3.66100              100.06699            
0.62000         0.61847       -1.00000E+00             100.00000            3.66100              100.06699            
0.66000         0.65751       -1.00000E+00             100.00000            3.66100              100.06699            
0.70000         0.69694       -1.00000E+00             100.00000            3.66100              100.06699            
0.74000         0.73689       -1.00000E+00             100.00000            3.66100              100.06699            
0.78000         0.77618       -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         0.93565       -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
