#theta_nq = 45 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03068       6.49330E+00              0.11190              0.04412              0.12028              
0.06000         0.05804       1.80699E+00              0.06217              0.06388              0.08913              
0.10000         0.09531       3.64016E-01              0.07298              0.07967              0.10804              
0.14000         0.13365       8.33640E-02              0.13325              0.07773              0.15426              
0.18000         0.16738       4.94696E-02              0.33932              0.07242              0.34696              
0.22000         nan           NAN                      nan                  nan                  nan                  
0.26000         nan           NAN                      nan                  nan                  nan                  
0.30000         0.31745       NAN                      1.20767              0.03986              1.20833              
0.34000         0.34768       4.20104E-04              0.36817              0.05574              0.37236              
0.38000         0.38332       3.01566E-04              0.17061              0.05510              0.17928              
0.42000         0.42526       1.61313E-04              0.13622              0.06701              0.15181              
0.46000         0.46385       1.25089E-04              0.10966              0.08636              0.13958              
0.50000         0.50159       9.86100E-05              0.09514              0.08634              0.12848              
0.54000         0.54044       7.40245E-05              0.08967              0.08644              0.12455              
0.58000         0.57974       6.26061E-05              0.08392              0.08667              0.12064              
0.62000         0.61922       4.38124E-05              0.09093              0.08690              0.12578              
0.66000         0.65889       3.68714E-05              0.09487              0.08727              0.12890              
0.70000         0.69869       3.28269E-05              0.10068              0.08778              0.13357              
0.74000         0.73850       3.02874E-05              0.10812              0.08826              0.13957              
0.78000         0.77856       2.62080E-05              0.12416              0.07993              0.14766              
0.82000         0.81836       1.64611E-05              0.16492              0.09003              0.18789              
0.86000         0.85822       1.61986E-05              0.17653              0.09105              0.19862              
0.90000         0.89831       1.67930E-05              0.18686              0.08340              0.20462              
0.94000         0.93852       9.87289E-06              0.25957              0.07434              0.27001              
0.98000         0.97853       7.98887E-06              0.30331              0.08722              0.31560              
1.02000         1.01844       6.65554E-06              0.35446              0.08526              0.36456              
1.06000         1.05818       6.25747E-06              0.38863              0.26149              0.46841              
1.10000         1.09796       NAN                      1.00028              0.03761              1.00099              
1.14000         1.13756       8.11909E-06              0.42376              0.05325              0.42710              
1.18000         1.17299       NAN                      0.57838              0.03769              0.57960              
