#theta_nq = 55 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03172       5.18815E+00              0.21357              0.03719              0.21678              
0.06000         0.06218       1.39568E+00              0.06480              0.03742              0.07483              
0.10000         0.09928       2.88239E-01              0.04722              0.03706              0.06003              
0.14000         0.13833       7.06831E-02              0.05861              0.04025              0.07110              
0.18000         0.17855       2.00666E-02              0.09242              0.04349              0.10214              
0.22000         0.21843       7.04340E-03              0.14244              0.04487              0.14934              
0.26000         0.25868       2.68690E-03              0.21992              0.04378              0.22423              
0.30000         0.29881       1.20335E-03              0.33395              0.04183              0.33656              
0.34000         0.33886       NAN                      0.70732              0.04022              0.70846              
0.38000         nan           NAN                      nan                  nan                  nan                  
0.42000         0.41900       NAN                      1.00016              0.03814              1.00089              
0.46000         0.45881       NAN                      0.70738              0.03775              0.70838              
0.50000         nan           NAN                      nan                  nan                  nan                  
0.54000         nan           NAN                      nan                  nan                  nan                  
0.58000         0.58149       NAN                      0.50392              0.05568              0.50699              
0.62000         0.62074       NAN                      0.59603              0.05590              0.59864              
0.66000         0.66016       1.11707E-04              0.38021              0.05628              0.38435              
0.70000         0.69951       5.88594E-05              0.45245              0.05672              0.45599              
0.74000         0.73909       9.00726E-05              0.33467              0.05712              0.33951              
0.78000         0.77876       NAN                      0.60172              0.05772              0.60448              
0.82000         0.81823       NAN                      0.71025              0.05842              0.71265              
0.86000         0.85761       NAN                      0.57882              0.04175              0.58032              
0.90000         0.89781       NAN                      0.50228              0.04221              0.50405              
0.94000         0.93727       NAN                      1.00175              0.04317              1.00268              
0.98000         nan           NAN                      nan                  nan                  nan                  
1.02000         nan           NAN                      nan                  nan                  nan                  
1.06000         nan           NAN                      nan                  nan                  nan                  
1.10000         nan           NAN                      nan                  nan                  nan                  
1.14000         nan           NAN                      nan                  nan                  nan                  
1.18000         nan           NAN                      nan                  nan                  nan                  
