#theta_nq = 25 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03069       2.44415E-03              14.29377             5.00270              15.14394             
0.06000         0.05562       8.54996E-04              9.28097              6.77654              11.49164             
0.10000         0.09083       2.11309E-04              14.92697             8.22288              17.04201             
0.14000         0.12281       9.54071E-05              0.00000              7.91509              0.00000              
0.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.22000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.26000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.30000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.34000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.38000         0.38291       -1.00000E+00             100.00000            3.66100              100.06699            
0.42000         0.42023       -1.00000E+00             100.00000            3.66100              100.06699            
0.46000         0.46019       -1.00000E+00             100.00000            3.66100              100.06699            
0.50000         0.50001       -1.00000E+00             100.00000            3.66100              100.06699            
0.54000         0.53956       -1.00000E+00             100.00000            3.66100              100.06699            
0.58000         0.57628       -1.00000E+00             100.00000            3.66100              100.06699            
0.62000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.66000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.70000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.74000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.78000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
