#theta_nq = 55 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03135       5.68088E+00              10.16140             4.06220              10.94330             
0.06000         0.05799       1.71593E+00              5.41670              5.76360              7.90950              
0.10000         0.09654       3.21520E-01              5.85440              7.00720              9.13100              
0.14000         0.13567       8.93298E-02              8.62270              6.92420              11.05880             
0.18000         0.17490       2.23853E-02              18.35510             6.30960              19.40930             
0.22000         0.21307       NAN                      71.88210             5.52740              72.09430             
0.26000         0.25339       NAN                      101.70960            4.94070              101.82960            
0.30000         nan           NAN                      nan                  nan                  nan                  
0.34000         nan           NAN                      nan                  nan                  nan                  
0.38000         0.38595       5.59781E-04              25.63020             5.65440              26.24650             
0.42000         0.42326       2.84214E-04              16.62970             5.58920              17.54380             
0.46000         0.46538       2.16829E-04              11.81590             6.80440              13.63500             
0.50000         0.50462       1.91949E-04              9.00430              8.77570              12.57340             
0.54000         0.54230       1.69112E-04              7.40270              8.79690              11.49720             
0.58000         0.58117       1.25412E-04              7.05300              8.84000              11.30890             
0.62000         0.62050       9.92010E-05              6.73860              8.88720              11.15310             
0.66000         0.66011       9.09309E-05              6.20800              8.95980              10.90040             
0.70000         0.69960       8.10597E-05              6.04840              9.04900              10.88430             
0.74000         0.73933       6.87813E-05              6.23070              9.13130              11.05450             
0.78000         0.77900       6.30654E-05              6.40420              9.24820              11.24910             
0.82000         0.81856       5.16239E-05              7.20190              9.39040              11.83410             
0.86000         0.85833       5.00020E-05              7.58640              9.50500              12.16140             
0.90000         0.89803       3.77447E-05              9.31020              9.68820              13.43660             
0.94000         0.93774       2.20978E-05              13.23860             9.88940              16.52450             
0.98000         0.97741       2.37352E-05              14.04270             10.12860             17.31430             
1.02000         1.01709       2.09706E-05              17.01610             11.33340             20.44490             
1.06000         1.05682       1.30169E-05              25.94930             25.94890             36.69750             
1.10000         1.09620       1.61744E-05              27.69070             6.52730              28.44960             
1.14000         1.13565       NAN                      57.87920             3.76870              58.00180             
1.18000         1.17182       NAN                      82.31490             6.52570              82.57320             
